Vdd [mv],Temp [C],Leakage [mA],Leakage [mW],peak Current [mA],peakPwr [mW],rDelay [ps],rEnergy [pJ],rNull [ps],rnullEnergy [pJ],rCycle Total [ps],rCycleEgy Total [pJ],rCycle EDP [pJ*ps],wDelay [ps],Wenergy [pJ],Wnull [ps],WnullEnergy [pJ],WCycle Total [ps],WCycleEgy Total [pJ],wCycle EDP [pJ*ps]
175,60,0.10937,0.0191397,0.186874,0.032703,6780,0.128542,6963,0.137979,13743,0.266521,3662.8,5411,0.105726,6990,0.153312,12401,0.259038,3212.33
200,60,0.117682,0.0235364,0.266774,0.0533549,4350,0.102639,4203,0.10661,8553,0.209249,1789.7,3328,0.0823438,4245,0.125712,7573,0.208056,1575.61
250,60,0.134926,0.0337315,0.522264,0.130566,1954,0.0685297,1800,0.0713433,3754,0.139873,525.083,1479,0.0564631,1846,0.101802,3325,0.158266,526.233
275,60,0.144149,0.039641,0.741994,0.204048,1428,0.0606192,1304,0.0641689,2732,0.124788,340.921,1082,0.0508169,1338,0.100849,2420,0.151666,367.031
300,60,0.153841,0.0461523,1.01126,0.303377,1100,0.0562337,1000,0.0608689,2100,0.117103,245.915,833,0.0479032,1026,0.104517,1859,0.15242,283.35
325,60,0.164038,0.0533124,1.31668,0.427922,885,0.0542048,803,0.0601102,1688,0.114315,192.964,671,0.0469919,824,0.111563,1495,0.158554,237.039
350,60,0.174774,0.0611708,1.6539,0.578866,738,0.0538674,670,0.0611996,1408,0.115067,162.014,559,0.0474103,687,0.12127,1246,0.16868,210.175
400,60,0.197988,0.0791953,2.39874,0.959495,555,0.0566516,505,0.0670383,1060,0.12369,131.111,420,0.0512629,518,0.147056,938,0.198319,186.023
450,60,0.223749,0.100687,3.40398,1.53179,450,0.0629324,410,0.0761249,860,0.139057,119.589,340,0.0493598,423,0.179139,763,0.228499,174.345
475,60,0.23767,0.112893,3.61023,1.71486,414,0.0673097,377,0.0825175,791,0.149827,118.513,312,0.0626422,389,0.199656,701,0.262298,183.871
500,60,0.252333,0.126166,5.13305,2.56652,384,0.0722332,351,0.088843,735,0.161076,118.391,289,0.0574866,362,0.2191,651,0.276587,180.058
525,60,0.267775,0.140582,4.65384,2.44326,360,0.0780251,330,0.0969103,690,0.174935,120.705,271,0.0734859,341,0.243778,612,0.317264,194.165
550,60,0.284035,0.156219,6.60913,3.63502,340,0.0844624,312,0.104625,652,0.189088,123.285,255,0.0678676,323,0.266567,578,0.334434,193.303
650,60,0.358085,0.232755,9.21304,5.98847,285,0.117595,263,0.144948,548,0.262543,143.874,213,0.095372,274,0.384709,487,0.480081,233.799
750,60,0.448747,0.33656,12.4983,9.37371,253,0.163528,236,0.198472,489,0.362,177.018,188,0.132277,247,0.538933,435,0.67121,291.976
850,60,0.559357,0.475453,15.4094,13.098,233,0.22452,219,0.26781,452,0.49233,222.533,172,0.206766,231,0.743799,403,0.950564,383.077
950,60,0.694127,0.659421,19.2848,18.3206,220,0.3032,207,0.350995,427,0.654196,279.341,161,0.239268,221,0.984248,382,1.22352,467.383
1000,60,0.777982,0.777982,21.1068,21.1068,215,0.351497,203,0.403964,418,0.755461,315.783,157,0.318804,217,1.14514,374,1.46394,547.515
1050,60,1.00502,1.05527,23.1186,24.2745,210,0.434505,199,0.486009,409,0.920514,376.49,151,0.388711,213,1.32931,364,1.71802,625.361
1075,60,1.59343,1.71294,21.2822,22.8783,208,0.584345,197,0.632173,405,1.21652,492.69,148,0.577972,211,1.55269,359,2.13067,764.91
1100,60,3.96449,4.36094,24.5645,27.021,205,1.13498,195,1.15535,400,2.29033,916.132,145,0.963809,207,2.12452,352,3.08833,1087.09
1125,60,11.9253,13.416,35.7682,40.2392,201,2.94338,192,2.8874,393,5.83077,2291.49,142,2.32549,204,3.95676,346,6.28224,2173.66
1150,60,29.962,34.4563,53.207,61.188,197,7.03039,189,6.81981,386,13.8502,5346.18,138,5.1953,200,8.00017,338,13.1955,4460.07
1175,60,58.0674,68.2292,79.3851,93.2774,193,13.399,185,12.9223,378,26.3213,9949.44,135,9.62221,196,14.3334,331,23.9556,7929.29
1200,60,93.0834,111.7,123.993,148.792,189,21.3271,181,20.5208,370,41.8479,15483.7,132,15.17,193,22.3605,325,37.5305,12197.4
1250,60,175.141,218.927,481.054,601.317,180,39.5841,174,38.4163,354,78.0004,27612.2,126,27.967,188,41.7423,314,69.7093,21888.7
