Vdd [mv], Temp [C], Leakage [mA], LeakagePw [mW], RW_Energy [pJ], RW_Energy_Null [pJ], Cycle_Energy [pJ], ) 
125,	 60,	 0.942124,	 0.117765,	 1.95761,	 2.00718,	 3.96479
150,	 60,	 1.09155,	 0.163732,	 2.48235,	 1.53585,	 4.0182
175,	 60,	 1.17834,	 0.206209,	 1.86052,	 1.1915,	 3.05202
200,	 60,	 1.26565,	 0.253131,	 1.42009,	 0.968808,	 2.3889
250,	 60,	 1.45182,	 0.362956,	 0.964041,	 0.799228,	 1.76327
275,	 60,	 1.55507,	 0.427645,	 0.860021,	 0.812436,	 1.67246
300,	 60,	 1.66492,	 0.499476,	 0.802773,	 0.87238,	 1.67515
325,	 60,	 1.78115,	 0.578873,	 0.777805,	 0.971726,	 1.74953
350,	 60,	 1.90387,	 0.666354,	 0.77363,	 1.10595,	 1.87957
400,	 60,	 2.17003,	 0.868012,	 0.812707,	 1.47074,	 2.28344
450,	 60,	 2.4662,	 1.10979,	 0.89534,	 1.96079,	 2.85613
475,	 60,	 2.62646,	 1.24757,	 0.951909,	 2.25637,	 3.20828
500,	 60,	 2.7954,	 1.3977,	 1.0189,	 2.5831,	 3.602
525,	 60,	 2.97346,	 1.56107,	 1.09372,	 2.93564,	 4.02936
550,	 60,	 3.16108,	 1.73859,	 1.17785,	 3.32582,	 4.50367
650,	 60,	 4.01659,	 2.61078,	 1.60332,	 5.25238,	 6.8557
750,	 60,	 5.06545,	 3.79908,	 2.18487,	 7.83551,	 10.0204
850,	 60,	 6.34619,	 5.39426,	 2.9383,	 11.1516,	 14.0899
950,	 60,	 7.90638,	 7.51106,	 3.90453,	 15.2949,	 19.1995
1000,	 60,	 8.86166,	 8.86166,	 4.49647,	 17.7392,	 22.2356
1050,	 60,	 11.1357,	 11.6924,	 5.5397,	 21.3942,	 26.9339
1075,	 60,	 16.6165,	 17.8627,	 7.35092,	 26.3241,	 33.675
1100,	 60,	 38.8152,	 42.6967,	 14.3427,	 43.54,	 57.8827
1125,	 60,	 119.011,	 133.887,	 39.3974,	 104.396,	 143.793
1175,	 60,	 664.719,	 781.044,	 211.348,	 527,	 738.348
