Vdd [mv],Temp [C],Leakage [mA],Leakage [mW],peak Current [mA],peakPwr [mW],rDelay [ps],rEnergy [pJ],rNull [ps],rnullEnergy [pJ],rCycle Total [ps],rCycleEgy Total [pJ],rCycle EDP [pJ*ps],wDelay [ps],Wenergy [pJ],Wnull [ps],WnullEnergy [pJ],WCycle Total [ps],WCycleEgy Total [pJ],wCycle EDP [pJ*ps]
175,90,0.323304,0.0565782,0.42081,0.0736418,3388,0.188986,3800,0.218226,7188,0.407212,2927.04,2718,0.152398,4015,0.246353,6733,0.398751,2684.79
200,90,0.347069,0.0694138,0.508208,0.101642,2333,0.16101,2520,0.181828,4853,0.342838,1663.79,1843,0.112191,2515,0.199291,4358,0.311482,1357.44
250,90,0.394873,0.0987182,0.893107,0.223277,1299,0.12987,1279,0.139077,2578,0.268947,693.345,991,0.102791,1291,0.170221,2282,0.273012,623.014
275,90,0.420302,0.115583,1.13396,0.31184,1021,0.121003,984,0.12915,2005,0.250153,501.557,777,0.0962705,998,0.167128,1775,0.263398,467.532
300,90,0.44692,0.134076,1.37292,0.411877,833,0.116081,788,0.121346,1621,0.237426,384.868,632,0.0801192,806,0.16805,1438,0.248169,356.867
325,90,0.474807,0.154312,1.73614,0.564246,702,0.114533,660,0.121073,1362,0.235607,320.896,533,0.0919503,674,0.177257,1207,0.269207,324.933
350,90,0.504039,0.176414,2.04651,0.71628,606,0.1149,565,0.120913,1171,0.235813,276.137,459,0.0800903,580,0.186082,1039,0.266173,276.554
400,90,0.566833,0.226733,2.85114,1.14046,480,0.121265,444,0.128964,924,0.250229,231.211,363,0.0852632,458,0.216509,821,0.301773,247.755
450,90,0.635913,0.286161,3.74253,1.68414,403,0.133274,372,0.143316,775,0.276591,214.358,304,0.0943044,385,0.257349,689,0.351654,242.289
475,90,0.673008,0.319679,4.26755,2.02709,376,0.141471,347,0.153843,723,0.295314,213.512,283,0.114925,360,0.285028,643,0.399952,257.169
500,90,0.711917,0.355958,4.68988,2.34494,352,0.150053,325,0.16271,677,0.312762,211.74,265,0.106732,339,0.308511,604,0.415242,250.806
525,90,0.752725,0.395181,5.28938,2.77693,333,0.160394,308,0.17577,641,0.336164,215.481,250,0.130387,320,0.340997,570,0.471385,268.689
550,90,0.795522,0.437537,5.69362,3.13149,317,0.171711,293,0.187057,610,0.358768,218.848,238,0.122498,306,0.369108,544,0.491606,267.434
650,90,0.98847,0.642506,8.11863,5.27711,272,0.229391,253,0.25234,525,0.481731,252.909,203,0.185492,266,0.530247,469,0.715739,335.682
750,90,1.22116,0.915872,10.6481,7.9861,245,0.308052,229,0.336961,474,0.645012,305.736,182,0.246487,243,0.738032,425,0.984518,418.42
850,90,1.50102,1.27587,12.9128,10.9759,228,0.411952,214,0.443085,442,0.855038,377.927,168,0.290595,229,0.993667,397,1.28426,509.852
950,90,1.83881,1.74687,15.7953,15.0055,216,0.545651,204,0.58115,420,1.1268,473.257,158,0.381919,220,1.33064,378,1.71256,647.348
1000,90,2.07003,2.07003,17.4178,17.4178,212,0.634813,200,0.669912,412,1.30472,537.546,153,0.460519,217,1.54325,370,2.00377,741.396
1050,90,3.02197,3.17307,19.8927,20.8874,207,0.882543,197,0.913494,404,1.79604,725.599,147,0.69683,214,1.93647,361,2.6333,950.621
1075,90,5.50628,5.91925,23.86,25.6495,205,1.45293,195,1.46345,400,2.91638,1166.55,144,1.19127,211,2.58773,355,3.77899,1341.54
1100,90,13.2399,14.5639,31.5626,34.7188,201,3.17365,192,3.11315,393,6.2868,2470.71,141,2.43691,208,4.34246,349,6.77937,2366
1125,90,30.2911,34.0774,47.6931,53.6547,197,6.95796,189,6.75916,386,13.7171,5294.81,138,5.11293,205,8.17769,343,13.2906,4558.68
1150,90,56.8757,65.4071,72.6498,83.5473,193,12.8587,185,12.409,378,25.2677,9551.19,134,9.1516,201,14.1737,335,23.3253,7813.97
1175,90,90.1642,105.943,122.008,143.359,189,20.2466,182,19.5944,371,39.841,14781,131,14.2792,198,21.8691,329,36.1483,11892.8
1200,90,127.594,153.113,243.043,291.651,185,28.5417,179,27.7564,364,56.2981,20492.5,128,20.0123,196,30.7752,324,50.7875,16455.1
