00000000, ffffffff, 00000000, ffffffff, 0, 1, 00000000, ffffffff, 0, 1,                 4166                 2166
790201f2, 86fdfe0d, cb203e96, 34dfc169, 1, 0, 44224089, bbddbf76, 1, 0,               175762                 3558
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               178391                 2629
ff599efe, 00a66101, 86bc380d, 7943c7f2, 1, 0, 8615d70c, 79ea28f3, 1, 0,               181465                 3074
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               184099                 2634
a446be48, 5bb941b7, 359fdd6b, ca602294, 1, 0, d9e69bb4, 2619644b, 0, 1,               186799                 2700
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               189431                 2632
e15df8c2, 1ea2073d, 81174a02, 7ee8b5fd, 0, 1, 627542c4, 9d8abd3b, 1, 0,               191919                 2488
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               194529                 2610
34d12d69, cb2ed296, 0effe91d, f10016e2, 1, 0, 43d11687, bc2ee978, 0, 1,               197321                 2792
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               199950                 2629
1652d92c, e9ad26d3, 11844923, ee7bb6dc, 0, 1, 27d7224f, d828ddb0, 0, 1,               203169                 3219
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               205785                 2616
ed3af2da, 12c50d25, e5730aca, 1a8cf535, 0, 1, d2adfda4, 2d52025b, 1, 0,               209281                 3496
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               211892                 2611
e844e2d0, 17bb1d2f, 7968bdf2, 8697420d, 0, 1, 61ada0c2, 9e525f3d, 1, 0,               215199                 3307
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               217865                 2666
5f54e5be, a0ab1a41, 20c4b341, df3b4cbe, 0, 1, 801998ff, 7fe66700, 0, 1,               221948                 4083
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               224563                 2615
89aaf013, 76550fec, 3c20f378, c3df0c87, 1, 0, c5cbe38c, 3a341c73, 0, 1,               227072                 2509
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               229702                 2630
db0de0b6, 24f21f49, 75c50deb, 8a3af214, 0, 1, 50d2eea1, af2d115e, 1, 0,               232489                 2787
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               235129                 2640
fda77efb, 02588104, 634bf9c6, 9cb40639, 0, 1, 60f378c1, 9f0c873e, 1, 0,               238159                 3030
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               240816                 2657
1cacb339, e3534cc6, de7502bc, 218afd43, 0, 1, fb21b5f5, 04de4a0a, 0, 1,               243337                 2521
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               245950                 2613
6cc0ffd9, 933f0026, 85d79a0b, 7a2865f4, 1, 0, f29899e5, 0d67661a, 0, 1,               248708                 2758
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               251328                 2620
e154f2c2, 1eab0d3d, 42f24185, bd0dbe7a, 1, 0, 24473448, dbb8cbb7, 1, 0,               254023                 2695
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               256635                 2612
b2a94665, 4d56b99a, 9dcc603b, 62339fc4, 0, 1, 5075a6a0, af8a595f, 1, 0,               259664                 3029
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               262268                 2604
ef8ee4df, 10711b20, bf23327e, 40dccd81, 1, 0, aeb2175e, 514de8a1, 1, 0,               265004                 2736
