00000000, ffffffff, 00000000, ffffffff, 0, 1, 00000000, ffffffff, 0, 1,                 3227                 1227
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                 4714                 1487
ffffffff, 00000000, ffffffff, 00000000, 1, 0, ffffffff, 00000000, 1, 0,                 5930                 1216
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                 7455                 1525
fffffffe, 00000001, fffffffe, 00000001, 1, 0, fffffffd, 00000002, 1, 0,                 8663                 1208
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                10175                 1512
aaaaaaaa, 55555555, 55555555, aaaaaaaa, 1, 0, 00000000, ffffffff, 1, 0,                16033                 5858
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                17542                 1509
55555555, aaaaaaaa, 55555555, aaaaaaaa, 0, 1, aaaaaaaa, 55555555, 0, 1,                18723                 1181
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                20164                 1441
aaaaaaaa, 55555555, aaaaaaaa, 55555555, 1, 0, 55555555, aaaaaaaa, 1, 0,                21348                 1184
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                22792                 1444
fffffffe, 00000001, fffffffe, 00000001, 1, 0, fffffffd, 00000002, 1, 0,                24000                 1208
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                25512                 1512
ffffffff, 00000000, ffffffff, 00000000, 0, 1, fffffffe, 00000001, 1, 0,                26727                 1215
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                28249                 1522
55555555, aaaaaaaa, 55555555, aaaaaaaa, 1, 0, aaaaaaab, 55555554, 0, 1,                29421                 1172
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                30863                 1442
aaaaaaaa, 55555555, aaaaaaaa, 55555555, 0, 1, 55555554, aaaaaaab, 1, 0,                32044                 1181
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                33488                 1444
55555555, aaaaaaaa, aaaaaaaa, 55555555, 1, 0, 00000000, ffffffff, 1, 0,                39356                 5868
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                40865                 1509
80054600, 7ffab9ff, 12153524, edeacadb, 1, 0, 921a7b25, 6de584da, 0, 1,                42412                 1547
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                43886                 1474
0dbb5f1b, f244a0e4, 8484d609, 7b7b29f6, 1, 0, 92403525, 6dbfcada, 0, 1,                46044                 2158
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                47523                 1479
df5808be, 20a7f741, 06b97b0d, f94684f2, 1, 0, e61183cc, 19ee7c33, 0, 1,                49225                 1702
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                50686                 1461
58fa57b1, a705a84e, b2c28465, 4d3d7b9a, 0, 1, 0bbcdc16, f44323e9, 1, 0,                52392                 1706
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                53849                 1457
4b62f396, b49d0c69, 00f3e301, ff0c1cfe, 1, 0, 4c56d698, b3a92967, 0, 1,                55382                 1533
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                56848                 1466
5672d3ac, a98d2c53, 3b23f176, c4dc0e89, 1, 0, 9196c523, 6e693adc, 0, 1,                58282                 1434
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                59765                 1483
e02d82c0, 1fd27d3f, 76d457ed, 892ba812, 0, 1, 5701daad, a8fe2552, 1, 0,                61602                 1837
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                63074                 1472
54e83ba9, ab17c456, 7cfde9f9, 83021606, 0, 1, d1e625a2, 2e19da5d, 0, 1,                64612                 1538
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                66099                 1487
01d77d03, fe2882fc, e2f784c5, 1d087b3a, 0, 1, e4cf01c8, 1b30fe37, 0, 1,                67949                 1850
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                69431                 1482
e66ececc, 19913133, 72aff7e5, 8d50081a, 1, 0, 591ec6b2, a6e1394d, 1, 0,                70967                 1536
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                72449                 1482
f36cd6e6, 0c932919, 8932d612, 76cd29ed, 1, 0, 7c9facf9, 83605306, 1, 0,                74148                 1699
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                75597                 1449
4a760b94, b589f46b, 793069f2, 86cf960d, 0, 1, c3a67586, 3c598a79, 0, 1,                77031                 1434
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                78508                 1477
a8149050, 57eb6faf, f4007ae8, 0bff8517, 1, 0, 9c150b39, 63eaf4c6, 1, 0,                80077                 1569
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                81558                 1481
31b20b63, ce4df49c, 2e58495c, d1a7b6a3, 1, 0, 600a54c0, 9ff5ab3f, 0, 1,                83865                 2307
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                85340                 1475
ded292bd, 212d6d42, 96ab582d, 6954a7d2, 1, 0, 757deaeb, 8a821514, 1, 0,                87003                 1663
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                88472                 1469
b0bbe261, 4f441d9e, b1ef6263, 4e109d9c, 0, 1, 62ab44c4, 9d54bb3b, 1, 0,                89749                 1277
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                91220                 1471
f1d496e3, 0e2b691c, c03b2280, 3fc4dd7f, 0, 1, b20fb963, 4df0469c, 1, 0,                93059                 1839
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                94520                 1461
08010510, f7fefaef, 557845aa, aa87ba55, 1, 0, 5d794abb, a286b544, 0, 1,                96241                 1721
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                97727                 1486
790201f2, 86fdfe0d, cb203e96, 34dfc169, 1, 0, 44224089, bbddbf76, 1, 0,                99735                 2008
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               101210                 1475
