00000000, ffffffff, 00000000, ffffffff, 0, 1, 00000000, ffffffff, 0, 1,                 3037                 1037
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                 4294                 1257
ffffffff, 00000000, ffffffff, 00000000, 1, 0, ffffffff, 00000000, 1, 0,                 5322                 1028
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                 6611                 1289
fffffffe, 00000001, fffffffe, 00000001, 1, 0, fffffffd, 00000002, 1, 0,                 7633                 1022
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                 8913                 1280
aaaaaaaa, 55555555, 55555555, aaaaaaaa, 1, 0, 00000000, ffffffff, 1, 0,                13895                 4982
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                15170                 1275
55555555, aaaaaaaa, 55555555, aaaaaaaa, 0, 1, aaaaaaaa, 55555555, 0, 1,                16174                 1004
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                17395                 1221
aaaaaaaa, 55555555, aaaaaaaa, 55555555, 1, 0, 55555555, aaaaaaaa, 1, 0,                18398                 1003
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                19618                 1220
fffffffe, 00000001, fffffffe, 00000001, 1, 0, fffffffd, 00000002, 1, 0,                20639                 1021
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                21917                 1278
ffffffff, 00000000, ffffffff, 00000000, 0, 1, fffffffe, 00000001, 1, 0,                22944                 1027
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                24230                 1286
55555555, aaaaaaaa, 55555555, aaaaaaaa, 1, 0, aaaaaaab, 55555554, 0, 1,                25224                  994
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                26441                 1217
aaaaaaaa, 55555555, aaaaaaaa, 55555555, 0, 1, 55555554, aaaaaaab, 1, 0,                27441                 1000
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                28662                 1221
55555555, aaaaaaaa, aaaaaaaa, 55555555, 1, 0, 00000000, ffffffff, 1, 0,                33656                 4994
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                34931                 1275
80054600, 7ffab9ff, 12153524, edeacadb, 1, 0, 921a7b25, 6de584da, 0, 1,                36242                 1311
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                37488                 1246
0dbb5f1b, f244a0e4, 8484d609, 7b7b29f6, 1, 0, 92403525, 6dbfcada, 0, 1,                39319                 1831
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                40569                 1250
df5808be, 20a7f741, 06b97b0d, f94684f2, 1, 0, e61183cc, 19ee7c33, 0, 1,                42016                 1447
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                43254                 1238
58fa57b1, a705a84e, b2c28465, 4d3d7b9a, 0, 1, 0bbcdc16, f44323e9, 1, 0,                44700                 1446
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                45932                 1232
4b62f396, b49d0c69, 00f3e301, ff0c1cfe, 1, 0, 4c56d698, b3a92967, 0, 1,                47232                 1300
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                48472                 1240
5672d3ac, a98d2c53, 3b23f176, c4dc0e89, 1, 0, 9196c523, 6e693adc, 0, 1,                49687                 1215
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                50941                 1254
e02d82c0, 1fd27d3f, 76d457ed, 892ba812, 0, 1, 5701daad, a8fe2552, 1, 0,                52497                 1556
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                53742                 1245
54e83ba9, ab17c456, 7cfde9f9, 83021606, 0, 1, d1e625a2, 2e19da5d, 0, 1,                55046                 1304
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                56303                 1257
01d77d03, fe2882fc, e2f784c5, 1d087b3a, 0, 1, e4cf01c8, 1b30fe37, 0, 1,                57873                 1570
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                59126                 1253
e66ececc, 19913133, 72aff7e5, 8d50081a, 1, 0, 591ec6b2, a6e1394d, 1, 0,                60428                 1302
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                61681                 1253
f36cd6e6, 0c932919, 8932d612, 76cd29ed, 1, 0, 7c9facf9, 83605306, 1, 0,                63124                 1443
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                64347                 1223
4a760b94, b589f46b, 793069f2, 86cf960d, 0, 1, c3a67586, 3c598a79, 0, 1,                65565                 1218
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                66810                 1245
a8149050, 57eb6faf, f4007ae8, 0bff8517, 1, 0, 9c150b39, 63eaf4c6, 1, 0,                68140                 1330
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                69392                 1252
31b20b63, ce4df49c, 2e58495c, d1a7b6a3, 1, 0, 600a54c0, 9ff5ab3f, 0, 1,                71354                 1962
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                72603                 1249
ded292bd, 212d6d42, 96ab582d, 6954a7d2, 1, 0, 757deaeb, 8a821514, 1, 0,                74016                 1413
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                75258                 1242
b0bbe261, 4f441d9e, b1ef6263, 4e109d9c, 0, 1, 62ab44c4, 9d54bb3b, 1, 0,                76339                 1081
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                77583                 1244
f1d496e3, 0e2b691c, c03b2280, 3fc4dd7f, 0, 1, b20fb963, 4df0469c, 1, 0,                79146                 1563
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                80381                 1235
08010510, f7fefaef, 557845aa, aa87ba55, 1, 0, 5d794abb, a286b544, 0, 1,                81840                 1459
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                83096                 1256
790201f2, 86fdfe0d, cb203e96, 34dfc169, 1, 0, 44224089, bbddbf76, 1, 0,                84801                 1705
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                86045                 1244
ff599efe, 00a66101, 86bc380d, 7943c7f2, 1, 0, 8615d70c, 79ea28f3, 1, 0,                87508                 1463
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                88755                 1247
a446be48, 5bb941b7, 359fdd6b, ca602294, 1, 0, d9e69bb4, 2619644b, 0, 1,                90056                 1301
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                91301                 1245
e15df8c2, 1ea2073d, 81174a02, 7ee8b5fd, 0, 1, 627542c4, 9d8abd3b, 1, 0,                92488                 1187
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                93722                 1234
34d12d69, cb2ed296, 0effe91d, f10016e2, 1, 0, 43d11687, bc2ee978, 0, 1,                95050                 1328
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                96294                 1244
1652d92c, e9ad26d3, 11844923, ee7bb6dc, 0, 1, 27d7224f, d828ddb0, 0, 1,                97847                 1553
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                99084                 1237
ed3af2da, 12c50d25, e5730aca, 1a8cf535, 0, 1, d2adfda4, 2d52025b, 1, 0,               100769                 1685
