00000000, ffffffff, 00000000, ffffffff, 0, 1, 00000000, ffffffff, 0, 1,                 3461                 1461
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                 5243                 1782
ffffffff, 00000000, ffffffff, 00000000, 1, 0, ffffffff, 00000000, 1, 0,                 6700                 1457
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                 8528                 1828
fffffffe, 00000001, fffffffe, 00000001, 1, 0, fffffffd, 00000002, 1, 0,                 9976                 1448
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                11788                 1812
aaaaaaaa, 55555555, 55555555, aaaaaaaa, 1, 0, 00000000, ffffffff, 1, 0,                18757                 6969
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                20566                 1809
55555555, aaaaaaaa, 55555555, aaaaaaaa, 0, 1, aaaaaaaa, 55555555, 0, 1,                21978                 1412
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                23709                 1731
aaaaaaaa, 55555555, aaaaaaaa, 55555555, 1, 0, 55555555, aaaaaaaa, 1, 0,                25125                 1416
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                26855                 1730
fffffffe, 00000001, fffffffe, 00000001, 1, 0, fffffffd, 00000002, 1, 0,                28302                 1447
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                30115                 1813
ffffffff, 00000000, ffffffff, 00000000, 0, 1, fffffffe, 00000001, 1, 0,                31571                 1456
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                33400                 1829
55555555, aaaaaaaa, 55555555, aaaaaaaa, 1, 0, aaaaaaab, 55555554, 0, 1,                34802                 1402
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                36526                 1724
aaaaaaaa, 55555555, aaaaaaaa, 55555555, 0, 1, 55555554, aaaaaaab, 1, 0,                37939                 1413
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                39673                 1734
55555555, aaaaaaaa, aaaaaaaa, 55555555, 1, 0, 00000000, ffffffff, 1, 0,                46659                 6986
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                48468                 1809
80054600, 7ffab9ff, 12153524, edeacadb, 1, 0, 921a7b25, 6de584da, 0, 1,                50309                 1841
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                52075                 1766
0dbb5f1b, f244a0e4, 8484d609, 7b7b29f6, 1, 0, 92403525, 6dbfcada, 0, 1,                54651                 2576
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                56423                 1772
df5808be, 20a7f741, 06b97b0d, f94684f2, 1, 0, e61183cc, 19ee7c33, 0, 1,                58457                 2034
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                60208                 1751
58fa57b1, a705a84e, b2c28465, 4d3d7b9a, 0, 1, 0bbcdc16, f44323e9, 1, 0,                62248                 2040
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                63995                 1747
4b62f396, b49d0c69, 00f3e301, ff0c1cfe, 1, 0, 4c56d698, b3a92967, 0, 1,                65826                 1831
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                67584                 1758
5672d3ac, a98d2c53, 3b23f176, c4dc0e89, 1, 0, 9196c523, 6e693adc, 0, 1,                69299                 1715
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                71076                 1777
e02d82c0, 1fd27d3f, 76d457ed, 892ba812, 0, 1, 5701daad, a8fe2552, 1, 0,                73266                 2190
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                75034                 1768
54e83ba9, ab17c456, 7cfde9f9, 83021606, 0, 1, d1e625a2, 2e19da5d, 0, 1,                76872                 1838
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                78654                 1782
01d77d03, fe2882fc, e2f784c5, 1d087b3a, 0, 1, e4cf01c8, 1b30fe37, 0, 1,                80865                 2211
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                82642                 1777
e66ececc, 19913133, 72aff7e5, 8d50081a, 1, 0, 591ec6b2, a6e1394d, 1, 0,                84478                 1836
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                86253                 1775
f36cd6e6, 0c932919, 8932d612, 76cd29ed, 1, 0, 7c9facf9, 83605306, 1, 0,                88278                 2025
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                90011                 1733
