W_Addr, W1[31:0], W0[31:0], total_time(ps), write_delay(ps)
0e, 00000000, 00000000,                22800,                  169
0a, b3d97667, 4c268998,                22945,                  145
0a, 00000000, 00000000,                23115,                  170
18, 5b6fb9b6, a4904649,                23266,                  151
18, 00000000, 00000000,                23433,                  167
18, 3cd18779, c32e7886,                23580,                  147
18, 00000000, 00000000,                23747,                  167
13, 4a74bf94, b58b406b,                23890,                  143
13, 00000000, 00000000,                24060,                  170
19, 823f2c04, 7dc0d3fb,                24206,                  146
19, 00000000, 00000000,                24374,                  168
0d, 6dcb69db, 92349624,                24523,                  149
0d, 00000000, 00000000,                24691,                  168
0d, 6cb0b7d9, 934f4826,                24837,                  146
0d, 00000000, 00000000,                25005,                  168
0a, bb45e276, 44ba1d89,                25150,                  145
0a, 00000000, 00000000,                25320,                  170
15, 5b172db6, a4e8d249,                25470,                  150
15, 00000000, 00000000,                25639,                  169
04, a3071a46, 5cf8e5b9,                25788,                  149
04, 00000000, 00000000,                25955,                  167
09, 7bd261f7, 842d9e08,                26101,                  146
09, 00000000, 00000000,                26269,                  168
08, da6ebab4, 2591454b,                26416,                  147
08, 00000000, 00000000,                26583,                  167
0d, 147cd928, eb8326d7,                26729,                  146
0d, 00000000, 00000000,                26897,                  168
0e, e3c530c7, 1c3acf38,                27042,                  145
0e, 00000000, 00000000,                27211,                  169
1c, 8477e408, 7b881bf7,                27362,                  151
1c, 00000000, 00000000,                27529,                  167
09, fea7a6fd, 01585902,                27677,                  148
09, 00000000, 00000000,                27845,                  168
06, 8e37901c, 71c86fe3,                27990,                  145
06, 00000000, 00000000,                28160,                  170
1d, ed3408da, 12cbf725,                28311,                  151
1d, 00000000, 00000000,                28479,                  168
10, 334ea766, ccb15899,                28625,                  146
10, 00000000, 00000000,                28792,                  167
1a, b9f50473, 460afb8c,                28937,                  145
1a, 00000000, 00000000,                29106,                  169
1a, 2f3ab35e, d0c54ca1,                29251,                  145
1a, 00000000, 00000000,                29421,                  170
1a, 6a8e05d5, 9571fa2a,                29566,                  145
1a, 00000000, 00000000,                29736,                  170
17, dcf000b9, 230fff46,                29880,                  144
17, 00000000, 00000000,                30050,                  170
00, 4b273796, b4d8c869,                30199,                  149
00, 00000000, 00000000,                30366,                  167
16, 13259f26, ecda60d9,                30515,                  149
16, 00000000, 00000000,                30685,                  170
1c, 3e99837d, c1667c82,                30833,                  148
1c, 00000000, 00000000,                31000,                  167
18, 43615786, bc9ea879,                31147,                  147
18, 00000000, 00000000,                31314,                  167
1b, 3f5a9b7e, c0a56481,                31457,                  143
1b, 00000000, 00000000,                31627,                  170
19, e7c3b6cf, 183c4930,                31773,                  146
19, 00000000, 00000000,                31941,                  168
01, fd28e4fa, 02d71b05,                32089,                  148
01, 00000000, 00000000,                32258,                  169
01, 0b940917, f46bf6e8,                32403,                  145
01, 00000000, 00000000,                32572,                  169
10, 43779186, bc886e79,                32722,                  150
10, 00000000, 00000000,                32889,                  167
15, 7a8c59f5, 8573a60a,                33035,                  146
15, 00000000, 00000000,                33204,                  169
01, 949a8a29, 6b6575d6,                33352,                  148
01, 00000000, 00000000,                33521,                  169
18, e2e574c5, 1d1a8b3a,                33672,                  151
18, 00000000, 00000000,                33839,                  167
13, 25b27b4b, da4d84b4,                33983,                  144
13, 00000000, 00000000,                34153,                  170
0a, f622e6ec, 09dd1913,                34301,                  148
0a, 00000000, 00000000,                34471,                  170
08, 2758d14e, d8a72eb1,                34618,                  147
08, 00000000, 00000000,                34785,                  167
01, 549efda9, ab610256,                34930,                  145
01, 00000000, 00000000,                35099,                  169
06, 070bb90e, f8f446f1,                35243,                  144
06, 00000000, 00000000,                35413,                  170
0a, cfd6c09f, 30293f60,                35558,                  145
0a, 00000000, 00000000,                35728,                  170
0d, 155a1d2a, eaa5e2d5,                35874,                  146
0d, 00000000, 00000000,                36042,                  168
18, 4f75ff9e, b08a0061,                36193,                  151
18, 00000000, 00000000,                36360,                  167
08, bccfa879, 43305786,                36510,                  150
08, 00000000, 00000000,                36677,                  167
13, 652345ca, 9adcba35,                36823,                  146
13, 00000000, 00000000,                36993,                  170
07, 35a0c96b, ca5f3694,                37139,                  146
07, 00000000, 00000000,                37309,                  170
1a, 5b0bddb6, a4f42249,                37458,                  149
1a, 00000000, 00000000,                37628,                  170
19, 6216abc4, 9de9543b,                37774,                  146
19, 00000000, 00000000,                37942,                  168
14, 492fd392, b6d02c6d,                38089,                  147
14, 00000000, 00000000,                38256,                  167
06, 3fbb3b7f, c044c480,                38403,                  147
06, 00000000, 00000000,                38573,                  170
12, 7d6df5fa, 82920a05,                38721,                  148
12, 00000000, 00000000,                38891,                  170
1d, 19452132, e6badecd,                39038,                  147
1d, 00000000, 00000000,                39206,                  168
04, 424fcd84, bdb0327b,                39355,                  149
04, 00000000, 00000000,                39522,                  167
09, 6543cfca, 9abc3035,                39668,                  146
09, 00000000, 00000000,                39836,                  168
0e, d095a8a1, 2f6a575e,                39981,                  145
0e, 00000000, 00000000,                40150,                  169
0b, fd8b6afb, 02749504,                40294,                  144
0b, 00000000, 00000000,                40464,                  170
09, f78290ef, 087d6f10,                40610,                  146
09, 00000000, 00000000,                40778,                  168
15, 1b60e536, e49f1ac9,                40928,                  150
15, 00000000, 00000000,                41097,                  169
0b, c7e8568f, 3817a970,                41243,                  146
0b, 00000000, 00000000,                41413,                  170
0e, 4465e788, bb9a1877,                41558,                  145
0e, 00000000, 00000000,                41727,                  169
12, 4df3819b, b20c7e64,                41875,                  148
12, 00000000, 00000000,                42045,                  170
0d, 1444df28, ebbb20d7,                42194,                  149
0d, 00000000, 00000000,                42362,                  168
02, 25b75f4b, da48a0b4,                42506,                  144
02, 00000000, 00000000,                42676,                  170
