W_Addr, W1[31:0], W0[31:0], total_time(ps), write_delay(ps)
10, 55861fab, aa79e054,                97745,                  146
10, 00000000, 00000000,                97912,                  167
18, 37b9656f, c8469a90,                98059,                  147
18, 00000000, 00000000,                98226,                  167
0d, a2cc8845, 5d3377ba,                98375,                  149
0d, 00000000, 00000000,                98543,                  168
1c, 45f3238b, ba0cdc74,                98694,                  151
1c, 00000000, 00000000,                98861,                  167
04, 6e1e1fdc, 91e1e023,                99010,                  149
04, 00000000, 00000000,                99177,                  167
05, 0c978d19, f36872e6,                99322,                  145
05, 00000000, 00000000,                99491,                  169
13, 9f398e3e, 60c671c1,                99638,                  147
13, 00000000, 00000000,                99808,                  170
04, ac782c58, 5387d3a7,                99957,                  149
04, 00000000, 00000000,               100124,                  167
06, 2e36435c, d1c9bca3,               100268,                  144
06, 00000000, 00000000,               100438,                  170
18, cd1d509a, 32e2af65,               100589,                  151
18, 00000000, 00000000,               100756,                  167
0a, e2f066c5, 1d0f993a,               100904,                  148
0a, 00000000, 00000000,               101074,                  170
03, 0d12031a, f2edfce5,               101217,                  143
03, 00000000, 00000000,               101387,                  170
0c, 5934e9b2, a6cb164d,               101534,                  147
0c, 00000000, 00000000,               101701,                  167
03, f4f00ee9, 0b0ff116,               101844,                  143
03, 00000000, 00000000,               102014,                  170
18, 75ad73eb, 8a528c14,               102165,                  151
18, 00000000, 00000000,               102332,                  167
09, 792c03f2, 86d3fc0d,               102481,                  149
09, 00000000, 00000000,               102649,                  168
1b, 378c736f, c8738c90,               102796,                  147
1b, 00000000, 00000000,               102966,                  170
08, d6a128ad, 295ed752,               103115,                  149
08, 00000000, 00000000,               103282,                  167
0f, 92f91225, 6d06edda,               103426,                  144
0f, 00000000, 00000000,               103596,                  170
1b, 55dd8dab, aa227254,               103744,                  148
1b, 00000000, 00000000,               103914,                  170
1d, c03b3e80, 3fc4c17f,               104061,                  147
1d, 00000000, 00000000,               104229,                  168
04, 412dfd82, bed2027d,               104378,                  149
04, 00000000, 00000000,               104545,                  167
16, 2ba7a557, d4585aa8,               104694,                  149
16, 00000000, 00000000,               104864,                  170
19, 196a0332, e695fccd,               105011,                  147
19, 00000000, 00000000,               105179,                  168
16, f24baee4, 0db4511b,               105324,                  145
16, 00000000, 00000000,               105494,                  170
00, d57fecaa, 2a801355,               105643,                  149
00, 00000000, 00000000,               105810,                  167
0c, 9759882e, 68a677d1,               105957,                  147
0c, 00000000, 00000000,               106124,                  167
1b, b8c0c271, 473f3d8e,               106272,                  148
1b, 00000000, 00000000,               106442,                  170
1c, 5e5421bc, a1abde43,               106590,                  148
1c, 00000000, 00000000,               106757,                  167
01, 0bec5717, f413a8e8,               106905,                  148
01, 00000000, 00000000,               107074,                  169
15, 75fb21eb, 8a04de14,               107224,                  150
15, 00000000, 00000000,               107393,                  169
0f, c4fd2e89, 3b02d176,               107540,                  147
0f, 00000000, 00000000,               107710,                  170
10, dff6f6bf, 20090940,               107860,                  150
10, 00000000, 00000000,               108027,                  167
16, e9b49ad3, 164b652c,               108172,                  145
16, 00000000, 00000000,               108342,                  170
1a, c144cc82, 3ebb337d,               108487,                  145
1a, 00000000, 00000000,               108656,                  169
17, 38e6a771, c719588e,               108800,                  144
17, 00000000, 00000000,               108970,                  170
11, 87628e0e, 789d71f1,               109116,                  146
11, 00000000, 00000000,               109284,                  168
05, 66861dcd, 9979e232,               109432,                  148
05, 00000000, 00000000,               109601,                  169
18, 0e3aeb1c, f1c514e3,               109752,                  151
18, 00000000, 00000000,               109919,                  167
0a, f67088ec, 098f7713,               110067,                  148
0a, 00000000, 00000000,               110237,                  170
17, b2d14a65, 4d2eb59a,               110384,                  147
17, 00000000, 00000000,               110554,                  170
1e, 81fa3603, 7e05c9fc,               110700,                  146
1e, 00000000, 00000000,               110869,                  169
1e, feaddcfd, 01522302,               111014,                  145
1e, 00000000, 00000000,               111183,                  169
14, f43a34e8, 0bc5cb17,               111330,                  147
14, 00000000, 00000000,               111497,                  167
06, 580989b0, a7f6764f,               111644,                  147
06, 00000000, 00000000,               111814,                  170
08, 09164d12, f6e9b2ed,               111961,                  147
08, 00000000, 00000000,               112128,                  167
1e, e2ba00c5, 1d45ff3a,               112277,                  149
1e, 00000000, 00000000,               112446,                  169
13, 1b0f0d36, e4f0f2c9,               112589,                  143
13, 00000000, 00000000,               112759,                  170
0b, 7dddabfb, 82225404,               112906,                  147
0b, 00000000, 00000000,               113076,                  170
0f, 0bcbbf17, f43440e8,               113220,                  144
0f, 00000000, 00000000,               113390,                  170
0a, 8a47b614, 75b849eb,               113535,                  145
0a, 00000000, 00000000,               113705,                  170
14, d3666ea6, 2c999159,               113856,                  151
14, 00000000, 00000000,               114023,                  167
0b, e5ac10cb, 1a53ef34,               114169,                  146
0b, 00000000, 00000000,               114339,                  170
14, 0277eb04, fd8814fb,               114490,                  151
14, 00000000, 00000000,               114657,                  167
01, 468b618d, b9749e72,               114805,                  148
01, 00000000, 00000000,               114974,                  169
19, 42e3bd85, bd1c427a,               115124,                  150
19, 00000000, 00000000,               115292,                  168
00, e4df16c9, 1b20e936,               115441,                  149
00, 00000000, 00000000,               115608,                  167
1c, a3643246, 5c9bcdb9,               115759,                  151
1c, 00000000, 00000000,               115926,                  167
18, 1b855f37, e47aa0c8,               116073,                  147
18, 00000000, 00000000,               116240,                  167
0e, 39d65773, c629a88c,               116388,                  148
0e, 00000000, 00000000,               116557,                  169
10, 6e6d23dc, 9192dc23,               116707,                  150
10, 00000000, 00000000,               116874,                  167
00, 6845f5d0, 97ba0a2f,               117022,                  148
00, 00000000, 00000000,               117189,                  167
18, 21820f43, de7df0bc,               117340,                  151
18, 00000000, 00000000,               117507,                  167
13, d0b99aa1, 2f46655e,               117650,                  143
13, 00000000, 00000000,               117820,                  170
1f, 4c588f98, b3a77067,               117964,                  144
1f, 00000000, 00000000,               118134,                  170
1a, c3be9287, 3c416d78,               118279,                  145
1a, 00000000, 00000000,               118449,                  170
10, 1699d12d, e9662ed2,               118596,                  147
10, 00000000, 00000000,               118763,                  167
11, b5b4e86b, 4a4b1794,               118908,                  145
11, 00000000, 00000000,               119077,                  169
0c, 892fc012, 76d03fed,               119227,                  150
0c, 00000000, 00000000,               119394,                  167
15, 06db6b0d, f92494f2,               119544,                  150
15, 00000000, 00000000,               119713,                  169
14, 20310740, dfcef8bf,               119859,                  146
14, 00000000, 00000000,               120026,                  167
00, 2a1ba354, d5e45cab,               120175,                  149
00, 00000000, 00000000,               120342,                  167
03, 098d1513, f672eaec,               120485,                  143
03, 00000000, 00000000,               120655,                  170
1c, f695deed, 096a2112,               120806,                  151
1c, 00000000, 00000000,               120973,                  167
07, bc781078, 4387ef87,               121119,                  146
07, 00000000, 00000000,               121289,                  170
03, afed265f, 5012d9a0,               121432,                  143
03, 00000000, 00000000,               121602,                  170
18, 5596ebab, aa691454,               121753,                  151
18, 00000000, 00000000,               121920,                  167
09, 11534d22, eeacb2dd,               122069,                  149
09, 00000000, 00000000,               122237,                  168
02, e3eb4cc7, 1c14b338,               122381,                  144
02, 00000000, 00000000,               122551,                  170
07, 6754d7ce, 98ab2831,               122694,                  143
07, 00000000, 00000000,               122864,                  170
1b, 927fa424, 6d805bdb,               123012,                  148
1b, 00000000, 00000000,               123182,                  170
15, 84651408, 7b9aebf7,               123328,                  146
15, 00000000, 00000000,               123497,                  169
1a, 5ad31db5, a52ce24a,               123643,                  146
1a, 00000000, 00000000,               123813,                  170
02, 1c2a1338, e3d5ecc7,               123960,                  147
02, 00000000, 00000000,               124130,                  170
10, ac05a058, 53fa5fa7,               124280,                  150
10, 00000000, 00000000,               124447,                  167
04, d1889aa3, 2e77655c,               124596,                  149
04, 00000000, 00000000,               124763,                  167
0a, 32c3df65, cd3c209a,               124908,                  145
0a, 00000000, 00000000,               125078,                  170
14, 03703906, fc8fc6f9,               125229,                  151
14, 00000000, 00000000,               125396,                  167
08, adf3405b, 520cbfa4,               125546,                  150
08, 00000000, 00000000,               125713,                  167
17, 24673948, db98c6b7,               125860,                  147
17, 00000000, 00000000,               126030,                  170
15, 7c1df3f8, 83e20c07,               126176,                  146
15, 00000000, 00000000,               126345,                  169
03, 28d6a951, d72956ae,               126491,                  146
03, 00000000, 00000000,               126661,                  170
15, 4d9ee39b, b2611c64,               126811,                  150
15, 00000000, 00000000,               126980,                  169
1b, 581653b0, a7e9ac4f,               127124,                  144
1b, 00000000, 00000000,               127294,                  170
10, 278dbb4f, d87244b0,               127440,                  146
10, 00000000, 00000000,               127607,                  167
1d, 8c38c418, 73c73be7,               127754,                  147
1d, 00000000, 00000000,               127922,                  168
01, a36ae846, 5c9517b9,               128070,                  148
01, 00000000, 00000000,               128239,                  169
15, ac974859, 5368b7a6,               128389,                  150
15, 00000000, 00000000,               128558,                  169
0b, 178b972f, e87468d0,               128704,                  146
0b, 00000000, 00000000,               128874,                  170
13, ef1deade, 10e21521,               129021,                  147
13, 00000000, 00000000,               129191,                  170
09, 1445b128, ebba4ed7,               129340,                  149
09, 00000000, 00000000,               129508,                  168
15, 2c577958, d3a886a7,               129658,                  150
15, 00000000, 00000000,               129827,                  169
14, 61dbe5c3, 9e241a3c,               129973,                  146
14, 00000000, 00000000,               130140,                  167
1e, 52397da4, adc6825b,               130285,                  145
1e, 00000000, 00000000,               130454,                  169
0f, 6b299dd6, 94d66229,               130601,                  147
0f, 00000000, 00000000,               130771,                  170
00, c1b04483, 3e4fbb7c,               130917,                  146
00, 00000000, 00000000,               131084,                  167
1f, c10f0482, 3ef0fb7d,               131232,                  148
1f, 00000000, 00000000,               131402,                  170
17, 22eadb45, dd1524ba,               131546,                  144
17, 00000000, 00000000,               131716,                  170
15, 229d0b45, dd62f4ba,               131862,                  146
15, 00000000, 00000000,               132031,                  169
06, fc670af8, 0398f507,               132178,                  147
06, 00000000, 00000000,               132348,                  170
10, 3601596c, c9fea693,               132498,                  150
