00000000, ffffffff, 00000000, ffffffff, 0, 1, 00000000, ffffffff, 0, 1,                 3768                 1768
e02d82c0, 1fd27d3f, 76d457ed, 892ba812, 0, 1, 5701daad, a8fe2552, 1, 0,                88338                 2650
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                90478                 2140
54e83ba9, ab17c456, 7cfde9f9, 83021606, 0, 1, d1e625a2, 2e19da5d, 0, 1,                92704                 2226
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                94866                 2162
01d77d03, fe2882fc, e2f784c5, 1d087b3a, 0, 1, e4cf01c8, 1b30fe37, 0, 1,                97543                 2677
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,                99699                 2156
e66ececc, 19913133, 72aff7e5, 8d50081a, 1, 0, 591ec6b2, a6e1394d, 1, 0,               101925                 2226
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               104079                 2154
f36cd6e6, 0c932919, 8932d612, 76cd29ed, 1, 0, 7c9facf9, 83605306, 1, 0,               106526                 2447
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               108629                 2103
4a760b94, b589f46b, 793069f2, 86cf960d, 0, 1, c3a67586, 3c598a79, 0, 1,               110696                 2067
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               112838                 2142
a8149050, 57eb6faf, f4007ae8, 0bff8517, 1, 0, 9c150b39, 63eaf4c6, 1, 0,               115102                 2264
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               117256                 2154
31b20b63, ce4df49c, 2e58495c, d1a7b6a3, 1, 0, 600a54c0, 9ff5ab3f, 0, 1,               120587                 3331
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               122732                 2145
ded292bd, 212d6d42, 96ab582d, 6954a7d2, 1, 0, 757deaeb, 8a821514, 1, 0,               125127                 2395
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               127260                 2133
b0bbe261, 4f441d9e, b1ef6263, 4e109d9c, 0, 1, 62ab44c4, 9d54bb3b, 1, 0,               129115                 1855
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               131254                 2139
f1d496e3, 0e2b691c, c03b2280, 3fc4dd7f, 0, 1, b20fb963, 4df0469c, 1, 0,               133904                 2650
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               136028                 2124
08010510, f7fefaef, 557845aa, aa87ba55, 1, 0, 5d794abb, a286b544, 0, 1,               138503                 2475
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               140665                 2162
790201f2, 86fdfe0d, cb203e96, 34dfc169, 1, 0, 44224089, bbddbf76, 1, 0,               143566                 2901
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               145705                 2139
ff599efe, 00a66101, 86bc380d, 7943c7f2, 1, 0, 8615d70c, 79ea28f3, 1, 0,               148203                 2498
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               150346                 2143
a446be48, 5bb941b7, 359fdd6b, ca602294, 1, 0, d9e69bb4, 2619644b, 0, 1,               152551                 2205
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               154692                 2141
e15df8c2, 1ea2073d, 81174a02, 7ee8b5fd, 0, 1, 627542c4, 9d8abd3b, 1, 0,               156719                 2027
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               158847                 2128
34d12d69, cb2ed296, 0effe91d, f10016e2, 1, 0, 43d11687, bc2ee978, 0, 1,               161115                 2268
